1241;14;303;100100000;20130605
1234;283;351;149900000;20130605
2208;36;201;100100000;20130605
1220;7;412;150142000;20130605
1244;153;321;100200000;20130605
1247;149;317;100100000;20130605
1210;117;216;118400000;20130605
1208;113;212;120300000;20130605
2218;74;314;149700000;20130605
1203;101;113;100000000;20130605
1216;184;416;120500000;20130605
1248;150;318;100000000;20130605
2220;281;332;79700000;20130605
1215;12;404;100620000;20130605
1214;11;401;99955000;20130605
2211;10;407;100232000;20130605
1201;1;100;99600000;20130605
2201;100;112;100902000;20130605
1224;249;510;0;20130605
1212;55;400;60145000;20130605
2223;154;322;99900000;20130605
1204;56;110;0;20130605
1223;4;501;100242000;20130605
2204;18;109;100200000;20130605
2203;103;115;80300000;20130605
2215;174;343;100200000;20130605
2213;248;509;100842000;20130605
1209;119;218;50000000;20130605
1242;155;323;79900000;20130605
2212;60;408;59700000;20130605
1104;26;111;100300000;20130605
1231;180;349;40300000;20130605
2207;53;202;60000000;20130605
1236;282;114;0;20130605
2210;76;403;80255000;20130605
2216;176;345;59500000;20130605
2110;185;417;80700000;20130605
1240;177;346;99700000;20130605
2217;69;308;80000000;20130605
1127;158;326;79900000;20130605
2102;121;220;100400000;20130605
1239;166;335;99900000;20130605
2221;152;320;49700000;20130605
1130;160;328;79700000;20130605
2202;61;102;39500000;20130605
1230;167;336;40800000;20130605
2206;114;213;60100000;20130605
2222;170;339;99600000;20130605
2122;73;311;80400000;20130605
1129;159;327;80200000;20130605
1335;204;437;80967000;20130605
1108;19;413;79500000;20130605
2116;228;523;0;20130605
1229;179;348;40500000;20130605
1207;116;215;60000000;20130605
1250;45;302;50000000;20130605
1124;251;512;0;20130605
1338;223;456;60802000;20130605
2205;148;211;40200000;20130605
2214;59;508;50142000;20130605
2103;66;206;0;20130605
1245;171;340;0;20130605
2117;286;458;0;20130605
1249;151;319;80400000;20130605
2209;118;217;0;20130605
2112;193;426;0;20130605
2114;194;427;0;20130605
1237;178;347;39600000;20130605
2107;21;402;100100000;20130605
2113;195;428;79500000;20130605
1128;157;325;59800000;20130605
1105;120;219;40000000;20130605
1369;279;562;0;20130605
1102;20;108;0;20130605
1118;225;516;0;20130605
2121;250;511;100142000;20130605
2105;122;221;40300000;20130605
1117;191;423;40170000;20130605
1359;236;537;0;20130605
